순위,관광지ID,관심지점명,구분,연령대,비율
1,3f73bffa7c6d98063eebe1ecd3305da6,에버랜드,레저/스포츠,30,21.7
2,aa6be6a4f5997ab91804f3b6be58e878,코엑스,문화생활시설,30,16.7
3,94b37da181384604e8bdf68b3217008e,여의도한강공원,관광명소,30,9.9
4,e871c31f2d8767492bd2063733a23ec3,킨텍스제1전시장,문화생활시설,30,8.9
5,ede5898c7b76ed7fbd8ec451ec4dbf83,서울대공원,레저/스포츠,30,8.4
6,f4cb0345c02d72995cc67111ef093ead,롯데월드잠실점,레저/스포츠,30,7.4
7,0d584d8e5e5d47817494c2f73ef30908,월미도,관광명소,30,7.0
8,6a4932d3f2787d25a04b758ba68e9db2,어린이대공원,레저/스포츠,30,6.7
9,b9dc3865498d79141065bc74ea791de7,CGV용산아이파크몰,문화생활시설,30,6.7
10,276874ccf43c6c5c48e4cfaf7841a223,킨텍스제2전시장,문화생활시설,30,6.6
