순위,관광지ID,관심지점명,구분,연령대,비율
1,aa6be6a4f5997ab91804f3b6be58e878,코엑스,문화생활시설,60,14.9
2,e871c31f2d8767492bd2063733a23ec3,킨텍스제1전시장,문화생활시설,60,11.4
3,5deaf67168dab528b8659e4ccbacc3b2,인천대공원,관광명소,60,10.6
4,b605a838036e13947e8dd11697cdd276,예술의전당,문화생활시설,60,9.4
5,0d39edb44207993a9bb92de2bfb03365,일산호수공원,관광명소,60,9.3
6,72c38469b443dcd14b3a2c8a954e11de,통도사,종교,60,9.3
7,db7c316c379c8e5a2eadef8648aeaa9f,대명포구,관광명소,60,9.2
8,2f22e7b6f8130dd4b52b664af487c401,궁평항,교통시설,60,9.0
9,6d162daa5d414b4c04f4dfd53017c652,강원랜드카지노,레저/스포츠,60,8.5
10,38a26a16270ce8f2cf503ba9650b6c94,을왕리해수욕장,관광명소,60,8.5
